Field,Experience,Location,Company Size,Salary,URL
IT - Phần mềm,Dưới 1 năm,Hà Nội,100-499 nhân viên,15 - 60 triệu,https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-sales-b2b-nhan-vien-tu-van-nghi-thu-7-va-chu-nhat-thu-nhap-15-40-trieu-di-lam-ngay-ha-noi/1653138.html?ta_source=JobSearchList_LinkDetail&u_sr_id=2BTFH7pngJ1pylw9WqKAfG2mAWHIWqWIJd40iluX_1742355159
Sản xuất,1 năm,Hồ Chí Minh,25-99 nhân viên,Thoả thuận,https://www.topcv.vn/viec-lam/truong-nhom-thiet-ke-do-hoa/1657966.html?ta_source=JobSearchList_LinkDetail&u_sr_id=2BTFH7pngJ1pylw9WqKAfG2mAWHIWqWIJd40iluX_1742355159
IT - Phần mềm,1 năm,Hồ Chí Minh,1000+ nhân viên,Thoả thuận,https://www.topcv.vn/viec-lam/senior-it-auditor-iso-27001/1584608.html?ta_source=JobSearchList_LinkDetail&u_sr_id=2BTFH7pngJ1pylw9WqKAfG2mAWHIWqWIJd40iluX_1742355159
IT - Phần mềm,Dưới 1 năm,Hà Nội,1000+ nhân viên,12 - 20 triệu,https://www.topcv.vn/viec-lam/nhan-vien-tu-van-kinh-doanh-phan-mem-duoc-ho-tro-nguon-thu-nhap-hap-dan-12tr-25tr/1630462.html?ta_source=JobSearchList_LinkDetail&u_sr_id=2BTFH7pngJ1pylw9WqKAfG2mAWHIWqWIJd40iluX_1742355159
IT - Phần mềm,Dưới 1 năm,Hà Nội,25-99 nhân viên,15 - 60 triệu,https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-phan-mem-tmdt-ai-sales-b2b-sale-b2c-nhan-vien-tu-van-nghi-thu-7-va-chu-nhat-thu-nhap-15-50-trieu-di-lam-ngay-ha-noi/1658139.html?ta_source=JobSearchList_LinkDetail&u_sr_id=2BTFH7pngJ1pylw9WqKAfG2mAWHIWqWIJd40iluX_1742355159
IT - Phần mềm,Dưới 1 năm,Hồ Chí Minh,25-99 nhân viên,Thoả thuận,https://www.topcv.vn/viec-lam/chuyen-vien-lap-trinh-mobile-app-android-ios/1643153.html?ta_source=JobSearchList_LinkDetail&u_sr_id=2BTFH7pngJ1pylw9WqKAfG2mAWHIWqWIJd40iluX_1742355159
Dược phẩm / Y tế / Công nghệ sinh học,2 năm,Hà Nội,25-99 nhân viên,10 - 15 triệu,https://www.topcv.vn/viec-lam/nhan-vien-thiet-ke-designer-thu-nhap-hap-dan-up-to-15-trieu-thang-ha-noi/1648229.html?ta_source=JobSearchList_LinkDetail&u_sr_id=2BTFH7pngJ1pylw9WqKAfG2mAWHIWqWIJd40iluX_1742355159
Tư vấn,2 năm,Hà Nội,25-99 nhân viên,12 - 15 triệu,https://www.topcv.vn/viec-lam/nhan-vien-thiet-ke-2-nam-kinh-nghiem-thu-nhap-12-15-trieu-tai-ha-noi/1647896.html?ta_source=JobSearchList_LinkDetail&u_sr_id=2BTFH7pngJ1pylw9WqKAfG2mAWHIWqWIJd40iluX_1742355159
IT - Phần mềm,3 năm,Hồ Chí Minh,25-99 nhân viên,Thoả thuận,https://www.topcv.vn/viec-lam/project-manager-3-5-nam-kinh-nghiem-it-in-house/1658394.html?ta_source=JobSearchList_LinkDetail&u_sr_id=2BTFH7pngJ1pylw9WqKAfG2mAWHIWqWIJd40iluX_1742355159
Tài chính,5 năm,Hà Nội,5000+ nhân viên,40 - 100 triệu,https://www.topcv.vn/viec-lam/product-owner-domain-core-bank-core-finance-hoac-xu-ly-no/1615655.html?ta_source=JobSearchList_LinkDetail&u_sr_id=2BTFH7pngJ1pylw9WqKAfG2mAWHIWqWIJd40iluX_1742355159
IT - Phần mềm,3 năm,Hà Nội,100-499 nhân viên,20 - 30 triệu,https://www.topcv.vn/viec-lam/truong-nhom-thiet-ke-do-hoa-graphic-designer-lead-thu-nhap-20-30m/1645243.html?ta_source=JobSearchList_LinkDetail&u_sr_id=2BTFH7pngJ1pylw9WqKAfG2mAWHIWqWIJd40iluX_1742355159
Dược phẩm / Y tế / Công nghệ sinh học,Không yêu cầu,Hồ Chí Minh & 2 nơi khác,25-99 nhân viên,15 - 20 triệu,https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-sales-tu-van-ban-hang-he-thong-phan-mem-mien-dong-hcm-luong-cung-15-trieu-hoa-hong-cao/1645549.html?ta_source=JobSearchList_LinkDetail&u_sr_id=2BTFH7pngJ1pylw9WqKAfG2mAWHIWqWIJd40iluX_1742355159
IT - Phần mềm,1 năm,"Hà Nội, Hồ Chí Minh",100-499 nhân viên,Thoả thuận,https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-b2b-sale-b2b-nghi-thu-7-chu-nhat-thu-nhap-10-20m-tai-ha-noi-hcm/1633018.html?ta_source=JobSearchList_LinkDetail&u_sr_id=2BTFH7pngJ1pylw9WqKAfG2mAWHIWqWIJd40iluX_1742355159
Bán lẻ - Hàng tiêu dùng - FMCG,1 năm,Hà Nội,10-24 nhân viên,14 - 20 triệu,https://www.topcv.vn/viec-lam/nhan-vien-thiet-ke-designer-mang-my-pham-spa-muc-luong-14-20-trieu-tai-ha-noi/1643516.html?ta_source=JobSearchList_LinkDetail&u_sr_id=2BTFH7pngJ1pylw9WqKAfG2mAWHIWqWIJd40iluX_1742355159
IT - Phần mềm,3 năm,Hồ Chí Minh,25-99 nhân viên,Thoả thuận,https://www.topcv.vn/viec-lam/truong-phong-kinh-doanh-sale-va-cskh-linh-vuc-app-b2b-nhan-viec-ngay-tai-quan-7/1642790.html?ta_source=JobSearchList_LinkDetail&u_sr_id=2BTFH7pngJ1pylw9WqKAfG2mAWHIWqWIJd40iluX_1742355159
Marketing / Truyền thông / Quảng cáo,1 năm,Hà Nội,25-99 nhân viên,10 - 15 triệu,https://www.topcv.vn/viec-lam/nhan-vien-thiet-ke-san-pham-thiet-ke-do-hoa-designer-luong-upto-15-trieu-tai-ha-noi/1653175.html?ta_source=JobSearchList_LinkDetail&u_sr_id=2BTFH7pngJ1pylw9WqKAfG2mAWHIWqWIJd40iluX_1742355159
Kế toán / Kiểm toán,Không yêu cầu,Toàn Quốc & 3 nơi khác,25-99 nhân viên,Thoả thuận,https://www.topcv.vn/viec-lam/nhan-vien-trien-khai-ban-ve-full-time-lam-viec-online-khong-can-kinh-nghiem/1591078.html?ta_source=JobSearchList_LinkDetail&u_sr_id=2BTFH7pngJ1pylw9WqKAfG2mAWHIWqWIJd40iluX_1742355159
Bán lẻ - Hàng tiêu dùng - FMCG,Dưới 1 năm,Hà Nội,25-99 nhân viên,15 - 20 triệu,https://www.topcv.vn/viec-lam/nhan-vien-thiet-ke-do-hoa-graphic-design-thu-nhap-trung-binh-15-20m-di-lam-ngay-t2-t6-tai-hai-ba-trung-hn/1642938.html?ta_source=JobSearchList_LinkDetail&u_sr_id=2BTFH7pngJ1pylw9WqKAfG2mAWHIWqWIJd40iluX_1742355159
Thương mại điện tử,1 năm,"Hà Nội, Hồ Chí Minh",100-499 nhân viên,10 - 30 triệu,https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-phan-mem-ha-noi-ho-chi-minh-thu-nhap-10-30tr-toi-thieu-1-nam-kinh-nghiem/1618316.html?ta_source=JobSearchList_LinkDetail&u_sr_id=2BTFH7pngJ1pylw9WqKAfG2mAWHIWqWIJd40iluX_1742355159
IT - Phần mềm,Dưới 1 năm,Hà Nội,100-499 nhân viên,10 - 20 triệu,https://www.topcv.vn/viec-lam/chuyen-vien-tu-van-tai-ky-phan-mem/1601729.html?ta_source=JobSearchList_LinkDetail&u_sr_id=2BTFH7pngJ1pylw9WqKAfG2mAWHIWqWIJd40iluX_1742355159
Thương mại điện tử,3 năm,Hà Nội,100-499 nhân viên,Thoả thuận,https://www.topcv.vn/viec-lam/senior-frontend-engineer-react-nextjs-storefront-ecommerce-platform-total-annual-income-55-000/1589846.html?ta_source=JobSearchList_LinkDetail&u_sr_id=2BTFH7pngJ1pylw9WqKAfG2mAWHIWqWIJd40iluX_1742355159
In ấn / Xuất bản,2 năm,Hà Nội,1-9 nhân viên,8 - 14 triệu,https://www.topcv.vn/viec-lam/nhan-vien-thiet-ke-do-hoa-in-an-thu-nhap-8-14-trieu/1645237.html?ta_source=JobSearchList_LinkDetail&u_sr_id=2BTFH7pngJ1pylw9WqKAfG2mAWHIWqWIJd40iluX_1742355159
